eva_id,t_min,hr_bpm,resp_rpm,core_temp_c,spo2_pct,ext_temp_c,helmet_co2_ppm,suit_press_kpa,critical_pct,fault
EVA-0000,0,80,18,37.0,98,-31.8,732,29.6,5.6,seal_leak
EVA-0000,5,88,17,37.0,98,-30.7,735,29.6,6.4,seal_leak
EVA-0000,10,80,18,37.0,98,-28.8,737,29.7,4.5,seal_leak
EVA-0000,15,82,19,37.1,98,-28.3,762,29.6,6.5,seal_leak
EVA-0000,20,93,17,37.1,98,-25.0,851,29.6,7.8,seal_leak
EVA-0000,25,98,19,37.1,97,-24.0,755,29.6,11.8,seal_leak
EVA-0000,30,90,19,37.1,98,-24.0,846,29.6,10.0,seal_leak
EVA-0000,35,93,20,37.0,98,-22.0,736,29.6,9.3,seal_leak
EVA-0000,40,94,19,37.1,98,-22.2,806,29.6,9.8,seal_leak
EVA-0000,45,97,18,37.1,98,-23.5,838,29.6,8.9,seal_leak
EVA-0000,50,91,20,37.0,97,-21.9,867,29.5,10.7,seal_leak
EVA-0000,55,97,21,37.1,98,-23.5,881,29.6,13.0,seal_leak
EVA-0000,60,99,19,37.1,98,-21.6,895,29.6,10.9,seal_leak
EVA-0000,65,100,21,37.2,97,-23.2,852,29.6,15.5,seal_leak
EVA-0000,70,98,20,37.1,98,-24.0,857,29.5,11.3,seal_leak
EVA-0000,75,101,21,37.2,98,-25.5,925,29.6,13.4,seal_leak
EVA-0000,80,99,20,37.2,98,-24.2,874,29.5,12.5,seal_leak
EVA-0000,85,103,21,37.2,98,-27.1,822,29.4,15.2,seal_leak
EVA-0000,90,104,22,37.2,98,-28.8,824,29.3,17.1,seal_leak
EVA-0000,95,105,22,37.2,97,-30.2,829,29.2,16.6,seal_leak
EVA-0000,100,106,23,37.2,97,-30.8,884,28.9,19.9,seal_leak
EVA-0000,105,109,23,37.1,96,-32.8,863,28.7,20.1,seal_leak
EVA-0000,110,109,22,37.0,96,-34.6,879,28.5,19.5,seal_leak
EVA-0000,115,107,23,37.0,95,-36.5,829,28.2,21.5,seal_leak
EVA-0000,120,108,22,37.0,95,-36.5,845,28.0,21.7,seal_leak
EVA-0000,125,112,23,37.0,95,-41.7,857,27.7,24.8,seal_leak
EVA-0000,130,113,23,36.9,94,-43.9,814,27.4,26.9,seal_leak
EVA-0000,135,112,23,36.9,94,-46.4,835,27.1,27.6,seal_leak
EVA-0000,140,117,23,36.9,93,-46.8,787,26.7,32.2,seal_leak
EVA-0000,145,119,25,37.0,93,-48.2,791,26.4,33.9,seal_leak
EVA-0000,150,126,24,36.9,92,-51.7,782,26.0,35.6,seal_leak
EVA-0000,155,125,25,36.7,91,-54.6,746,25.7,42.1,seal_leak
EVA-0000,160,125,25,36.7,91,-56.4,795,25.3,44.1,seal_leak
EVA-0000,165,124,26,36.6,90,-56.4,754,25.0,46.8,seal_leak
EVA-0000,170,127,27,36.6,90,-57.9,761,24.6,49.0,seal_leak
EVA-0000,175,134,28,36.6,89,-59.7,766,24.1,54.2,seal_leak
EVA-0000,180,131,27,36.6,89,-62.5,755,23.7,53.9,seal_leak
EVA-0000,185,133,25,36.4,88,-62.6,752,23.3,56.6,seal_leak
EVA-0000,190,131,27,36.4,87,-63.8,718,22.9,60.2,seal_leak
EVA-0000,195,144,27,36.2,86,-64.5,699,22.5,65.8,seal_leak
EVA-0000,200,143,27,36.3,86,-64.4,698,22.1,66.3,seal_leak
EVA-0000,205,143,29,36.2,85,-65.6,643,21.6,72.6,seal_leak
EVA-0000,210,149,29,36.1,83,-65.3,639,21.0,74.1,seal_leak
EVA-0000,215,153,28,36.0,83,-66.1,631,20.5,75.3,seal_leak
EVA-0000,220,153,28,36.0,82,-65.7,629,20.1,75.6,seal_leak
EVA-0000,225,160,30,35.9,81,-64.9,652,19.6,79.9,seal_leak
EVA-0001,0,78,15,36.7,97,-41.1,488,29.6,7.2,scrubber_exhaustion
EVA-0001,5,78,17,36.8,97,-42.2,526,29.6,8.0,scrubber_exhaustion
EVA-0001,10,82,16,36.7,97,-43.7,562,29.5,9.5,scrubber_exhaustion
EVA-0001,15,77,17,36.8,97,-46.9,626,29.5,10.2,scrubber_exhaustion
EVA-0001,20,81,15,36.7,97,-49.1,680,29.6,8.7,scrubber_exhaustion
EVA-0001,25,82,17,36.7,97,-47.5,552,29.6,9.8,scrubber_exhaustion
EVA-0001,30,84,17,36.8,98,-49.3,644,29.6,7.4,scrubber_exhaustion
EVA-0001,35,87,17,36.8,97,-49.3,592,29.7,9.5,scrubber_exhaustion
EVA-0001,40,81,19,36.8,98,-50.1,672,29.6,8.5,scrubber_exhaustion
EVA-0001,45,87,19,36.9,97,-51.9,656,29.6,11.3,scrubber_exhaustion
EVA-0001,50,87,18,36.9,97,-52.1,592,29.6,9.2,scrubber_exhaustion
EVA-0001,55,86,19,36.8,97,-53.7,728,29.6,11.4,scrubber_exhaustion
EVA-0001,60,91,18,36.9,97,-54.3,671,29.6,11.0,scrubber_exhaustion
EVA-0001,65,95,19,36.9,97,-56.6,686,29.6,11.3,scrubber_exhaustion
EVA-0001,70,89,19,36.9,98,-56.7,674,29.6,9.9,scrubber_exhaustion
EVA-0001,75,91,19,36.9,97,-56.9,706,29.6,10.7,scrubber_exhaustion
EVA-0001,80,95,20,36.9,97,-56.7,792,29.6,13.2,scrubber_exhaustion
EVA-0001,85,97,19,37.0,97,-58.6,842,29.6,11.1,scrubber_exhaustion
EVA-0001,90,91,19,36.9,97,-57.9,986,29.6,11.7,scrubber_exhaustion
EVA-0001,95,97,21,36.9,97,-59.2,1153,29.7,13.9,scrubber_exhaustion
EVA-0001,100,101,19,36.9,97,-59.2,1408,29.6,13.2,scrubber_exhaustion
EVA-0001,105,91,18,36.9,97,-58.1,1591,29.7,11.9,scrubber_exhaustion
EVA-0001,110,95,22,36.9,97,-61.5,1846,29.6,15.9,scrubber_exhaustion
EVA-0001,115,100,24,37.0,97,-60.6,2314,29.6,16.2,scrubber_exhaustion
EVA-0001,120,103,22,37.1,97,-60.6,2655,29.6,17.5,scrubber_exhaustion
EVA-0001,125,108,22,37.1,96,-61.3,3173,29.6,20.9,scrubber_exhaustion
EVA-0001,130,111,25,37.2,97,-58.9,3643,29.6,22.5,scrubber_exhaustion
EVA-0001,135,109,26,37.2,97,-56.7,4173,29.6,23.7,scrubber_exhaustion
EVA-0001,140,118,27,37.4,96,-57.3,4799,29.6,29.8,scrubber_exhaustion
EVA-0001,145,121,28,37.4,96,-56.1,5527,29.6,33.3,scrubber_exhaustion
EVA-0001,150,129,31,37.5,96,-54.2,6241,29.6,36.3,scrubber_exhaustion
EVA-0001,155,126,32,37.5,96,-53.1,6910,29.6,37.7,scrubber_exhaustion
EVA-0001,160,130,32,37.6,97,-53.9,7727,29.6,39.4,scrubber_exhaustion
EVA-0001,165,140,36,37.7,96,-51.2,8633,29.6,46.9,scrubber_exhaustion
EVA-0001,170,143,38,37.7,96,-51.7,9465,29.6,48.0,scrubber_exhaustion
EVA-0001,175,154,39,37.9,95,-51.7,10489,29.6,53.0,scrubber_exhaustion
EVA-0002,0,79,18,37.0,98,-60.4,762,29.6,4.7,scrubber_exhaustion
EVA-0002,5,84,18,37.1,98,-59.8,778,29.6,6.5,scrubber_exhaustion
EVA-0002,10,85,19,37.1,99,-57.4,687,29.6,7.3,scrubber_exhaustion
EVA-0002,15,87,18,37.0,98,-55.6,657,29.6,6.7,scrubber_exhaustion
EVA-0002,20,87,17,37.1,98,-57.0,753,29.6,6.6,scrubber_exhaustion
EVA-0002,25,86,18,37.1,98,-55.8,798,29.6,7.5,scrubber_exhaustion
EVA-0002,30,85,17,37.1,98,-53.7,845,29.6,6.0,scrubber_exhaustion
EVA-0002,35,87,18,37.1,98,-53.1,795,29.6,7.5,scrubber_exhaustion
EVA-0002,40,89,19,37.1,98,-50.2,763,29.7,8.8,scrubber_exhaustion
EVA-0002,45,85,19,37.0,98,-52.6,747,29.6,7.3,scrubber_exhaustion
